Gnai3
Cdc45
H19
Klf6
Cox5a
Tfe3
Gna12
Gpr107
Trim25
Dgke
Scpep1
Tpd52l1
Ckmt1
Arvcf
Comt
Dazap2
Rnf17
Ndufa9
Lck
Galnt1
Mkrn2
44440
Gpa33
Itga5
Gm2a
Krit1
Myo18a
Kat2b
Dnmt3l
Spg7
Chmp1a
Ddx3x
Car4
Znf512b
Dnajc5
Mmp11
Snrpn
Slc7a7
Oxa1l
Heatr6
Chtop
S100a6
Epn2
Rmnd5b
Nhp2
Mfsd10
Luzp1
Poldip2
Lgals9
Cfp
Timp1
Lman2l
Mcm3ap
Pcnt
Ocrl
Calm1
Uhrf1
Gramd1a
Ckb
Sp1
Fbxo9
Ccdc132
Hars
Ube2c
Cct3
0610031J06Rik
Col18a1
Slc19a1
Tubb6
Itga3
Itfg2
Gtf2h4
Jup
Ergic1
Tcea3
Smo
Chordc1
Rtcb
Capns1
Rac1
Nup214
Aif1l
Trmt1
Uba1
Vwf
Grik3
Sipa1l2
Idh3g
Ssr4
Bcap31
Trappc6a
Supt6
Sdf2
Ccne1
Hsf2bp
Psmc3
Stat6
Mov10
Rhoc
Peg3
Angptl4
Dbf4
Tm9sf1
Irf9
2310045N01Rik
Ranbp3
Use1
Braf
Prpf6
Rgs19
Snrpd1
Tsc2
Gtf2f1
Cse1l
Naa20
Prkra
Baz1b
Ggct
Nudt14
Top3a
Qtrt1
Adprh
Tmem39a
Pla1a
Mcm2
Cd97
Lamb1
Timm44
Ap2a2
Relb
Apoe
Hbp1
Klf4
Ap1m1
Rab8a
Hmgn2
Elf3
Stard3nl
Stk11
Slc2a3
Sri
Dgcr2
Zfp959
Dvl3
Abcf3
Eif2b5
Ap1m2
Fkbp11
Fcgrt
Nosip
Rps11
Dusp3
Ier3
Crot
Kpna6
Brd8
Kif20a
Gcdh
Dnase2a
Syce2
Nqo1
Gys1
Ruvbl2
Tfam
Zfp81
Fam162a
Gstm3
Stat3
Ptrf
Akt2
Zak
Dnmt1
Kifc2
Psap
Ikbkg
Phb2
Ptpn6
Lpcat3
Clcn5
Spic
Ddx56
Tmed4
Bid
Ralb
Dnajb11
Tbccd1
Tax1bp1
Ndrg2
Mettl17
Arhgef40
Arhgef18
Etfb
Stxbp2
Wwox
Cnn2
Polr2e
Mtfp1
Dlst
Chmp2b
Ap1s1
Mapk13
Srpk1
Lbr
Hdgf
Tmem242
Zp3
Hspb1
Ccdc130
Cstb
Eif2ak4
Man2b1
Klf5
Polr2a
Spc25
Ufd1l
Ubqln1
Txn2
Slc1a3
Msh6
Nid1
Mcm5
Hmox1
Asf1b
Usp40
Igf1r
Eif4g2
Snx6
Mthfd2
Kit
Cs
Bcas2
Gpr108
Rsl1d1
Reep5
Ergic3
Uqcc1
Ncoa2
Trh
Nr2c2
Smpd4
Ctns
Rcn1
Napa
Calcoco2
Atp5g1
Inpp5k
Cdkal1
Fblim1
Mob1b
Atp6v1b2
Eps15l1
Aamp
Tmbim1
Susd2
Crip2
Fbln1
Pgrmc1
Gcat
Elovl1
Cdc20
Pfdn2
Rnf114
Rbm14
Pdk1
Ptbp1
Cyba
Aprt
Gtf2h1
Slc5a6
Nphs1
Aplp1
Qrich1
Pola1
Acot13
Cdk4
Mettl1
Tspan31
Kif5b
Saal1
Sod2
Ezh1
Psmd2
Ddah2
Pole
Mrpl49
Dennd2c
Gatad1
M6pr
Lrrc8a
